,ID,post
50,51,"By almost any measure, the criminal investigation of the Jan. 6 riot is a prosecutorial effort of unparalleled scope. But the question remains: Will the Justice Department move beyond charging the rioters themselves?"
51,52,Breaking News: A panel of CDC advisers endorsed boosters of the Pfizer coronavirus vaccine for children aged 12 and over.
52,53,"Mayor Eric Adams of New York City wants to restore the NYPD's plainclothes anti-crime unit, which recovered illegal guns. But groups have criticized the move, saying a focus on gun enforcement has in the past disproportionately targeted young Black and Latino men."
53,54,"Even if you feel like you've forgotten how to be fit, your muscles remember, new research suggests."
54,55,Breaking News: Novak Djokovic was refused entry to Australia and asked to leave the country after a 12-hour airport standoff over the validity of his visa and questions about his vaccine medical exemption for the Australian Open.
55,56,President Emmanuel Macron of France said Wednesday that he wanted to anger millions of his citizens who refuse to get vaccinated by squeezing them out of the country’s public spaces.
56,57,"Beginning next week, Americans struggling to get tested for the coronavirus will be able to have the cost of rapid at-home tests reimbursed by their insurers, a White House official said. He didn't specify when free tests would be available."
57,58,"“This is probably one of the worst fires I’ve ever been to,” said a Philadelphia fireman. The fire department said that four smoke detectors did not go off during a fire that left more than a dozen people, including at least seven children, dead. https://nyti.ms/3JG7Jyt"
58,59,"Starting Friday, vaccinated people traveling to England will no longer need to take a Covid test before their journey, as Britain’s leader scaled back restrictions that were put in place in November as the Omicron variant has become widespread."
59,60,Breaking News: Novak Djokovic’s entry to Australia was mired in confusion after a dispute over his visa and questions about the vaccine medical exemption he received to play in the Australian Open.
60,61,"At least 13 people, including seven children, were killed in a fire at a Philadelphia rowhouse on Wednesday morning. It is one of the deadliest residential fires in recent U.S. history. https://nyti.ms/3G2a9F6"
61,62,"Breaking News: The Grammy Awards, originally scheduled for Jan. 31, were postponed for the second year in a row because of the pandemic. A new date is expected soon."
62,63,"Getting married? We are seeking couples with interesting, inspiring and diverse love stories that represent and reflect the world around us. Here's how to submit news of your wedding."
63,64,The metaverse. The smart home. Connected health.
64,65,In The New York Times Opinion Section 
65,66,"Dick Zigun, the unelected ""mayor"" of Coney Island, spent decades restoring the area to its carnivalesque glory. Now, though, his four-decade reign is over: The nonprofit he helped start fired him amid a squabble over money."
66,67,"What would you play to get a friend to fall in love with mezzo-sopranos, the warm-toned bringers of humanity to opera? Singers, composers and New York Times journalists share their selections."
67,68,Oregon is legalizing mushrooms. Ketamine can be delivered to your home.
68,69,In The New York Times Opinion Section
69,70,"At least four smoke detectors in the Philadelphia building where 13 people died on Wednesday did not go off, the fire department said. The authorities said there were 26 people in the two-unit rowhouse, which the Philadelphia Housing Authority owned."
70,71,"While Rio de Janeiro’s renowned Carnival parade will go on this year, the city will cancel its street parties, which ordinarily draw millions of revelers, the mayor said on Tuesday."
71,72,"A severe fire killed at least 13 people, including seven children, at a rowhouse in Philadelphia, officials said. “This is without a doubt one of the most tragic days in our city’s history, the loss of so many people in such a tragic way,” Mayor Jim Kenney said at a news conference. “Losing so many kids is just devastating.”"
72,73,"Health officials in Puerto Rico are concerned that the holiday season, which on the island, extended until Kings Day, will drive the rise in the number of coronavirus cases, which are already on the rise."
73,74,We found 55 words that can be spelled with these seven letters. How many can you make?
74,75,"“It’s better than a sharp stick in the eye,” our critic writes of Carl Bernstein’s new memoir, “Chasing History.” “It’s just … long and pokey and a bit underthought. I might not have finished it if my paycheck didn’t depend on leaving a clean plate.”"
75,76,"Quentin Tarantino plans to auction off NFTs associated with his handwritten screenplay of “Pulp Fiction,” despite a pending lawsuit over right by the movie studio Miramax."
76,77,"Audie Cornish, a host of NPR’s ""All Things Considered,"" is leaving her job, becoming the latest prominent journalist of color to leave the public broadcaster."
77,78,"Breaking News: A severe fire killed at least 13 people, including seven children, at a rowhouse in Philadelphia, officials said."
78,79,"Crews in Alaska are working to restore power to homes that were left without heating for days after heavy windstorms hit parts of the state, making below-zero temperatures feel even colder."
79,80,"President Biden’s temporary expansion of the child tax credit received a lukewarm reception, dismaying those who advocate more generous aid to families."
80,81,"Some Germans can’t believe that their conservative country could legalize recreational cannabis, but others are preparing for a weed bonanza."
81,82,"A coronavirus variant found in a small number of patients in France gives little reason to worry, said the WHO, which is monitoring it. The variant has been on the agency’s radar since November and does not appear to have spread widely, an official said."
82,83,"A fire that engulfed a house in Philadelphia’s Fairmount neighborhood was fatal, according to the city’s fire department. It took firefighters 50 minutes to get the “heavy fire” under control, the department said on Twitter."
83,84,"Covid hospitalizations in the U.S. are surging, but in Omicron hot spots, a smaller proportion of patients are in ICUs compared with previous waves. Now, the challenges are less about stockpiling equipment and more about staffing and contagion."
84,85,"A woman in Georgia who fraudulently obtained more than $6 million in Covid relief money was sentenced to more than three years in prison, the Justice Department said. It is the latest example of Americans misusing the Paycheck Protection Program."
85,86,"The news that Novak Djokovic, a prominent vaccination skeptic, received a medical exemption to play in the Australian Open, a procedure that suggested he remained unvaccinated against Covid, prompted outrage from some in Australia."
86,87,"“The details of the Omicron variant are becoming clearer, and they are encouraging,” David Leonhardt writes in The Morning newsletter. He outlines three main ways that Omicron looks substantially milder than other versions of the virus."
87,88,"California fire investigators pinned the blame for the Dixie Fire — which burned more than 963,000 acres — on equipment owned by PG&E and referred the case to prosecutors."
88,89,The number of children and teens killed by gunfire in the U.S. has risen sharply during the pandemic.
89,90,More than 700 people have been arrested in the year since the assault on the Capitol by a pro-Trump mob. The Justice Department has called the inquiry one of the largest in its history — and has given little indication of how high it might reach.
90,91,Canada has reached a $31.5 billion settlement to repair its child welfare system and compensate Indigenous families separated by the government.
91,92,Protesters in Kazakhstan stormed government buildings and captured police vehicles on a fourth day of demonstrations driven by outrage over surging gas prices. Anger has swelled despite some government concessions and a strict state of emergency.
92,93,The U.S. Capitol Police chief will tell lawmakers that his agency is addressing internal weaknesses exposed by the Jan. 6 riot.
93,94,"After a snowstorm in Virginia stranded hundreds of drivers on Interstate 95, safety experts have offered advice on how people can stay safe if they are stuck in their vehicles."
94,95,"Public school officials in Chicago canceled classes for Wednesday amid a clash with the teachers' union, whose members had threatened to stay home in a bid to force instruction online during a coronavirus surge."
95,96,"Novak Djokovic will play in the Australian Open after receiving a medical exemption from the tournament's Covid vaccine requirement. Such an exemption had the potential to become a political hornet's nest in Australia, Matthew Futterman writes."
96,97,"“The ranks of the unemployed technology workers are swelling, as China’s once vibrant internet industry is hit by a harsh and capricious regulatory crackdown,” our columnist Li Yuan writes. “Fear and gloom now rule.”"
97,98,President Emmanuel Macron of France is facing a backlash after arguing that the government should make life miserable for the unvaccinated. His blunt statement comes as Covid infection rates spike ahead of a key presidential election.
98,99,In The New York Times Opinion Section 
99,100,Here's a look at some of the highlights worth watching from late-night TV.
100,101,"When it comes to exercise, it might be tempting to assume that more is automatically better. But it’s possible to overdo it. https://nyti.ms/3t6qKE2"
101,102,"King Carl XVI Gustaf of Sweden and Queen Silvia, his wife, tested positive for the coronavirus on Monday evening, the Swedish Royal Court said in a statement. Both were fully vaccinated and had received booster shots."
102,103,"In The New York Times Opinion Section: ""Those who panic over the rise in the number of single Americans do not see that this statistic includes lives of hard-won independence — lives that still intersect with a community, with a home, with a belief in something wider than oneself,"" writes Kaitlyn Greenidge."
103,104,The president of Kazakhstan declared a two-week state of emergency in two regions after protests erupted over rising fuel prices.
104,105,The 2022 Olympics will kick off in Beijing next month. 
105,106,"Breaking News: Chicago school officials canceled classes for Wednesday amid a clash with the teachers’ union, which wants to pause in-person instruction as the Omicron variant pushes Covid cases in the city to record levels."
106,107,"""It does not make me doubt the existence or the goodness of God. It makes me doubt God's ability to act in people who call themselves his followers."" In The New York Times Magazine, read an interview with Katharine Hayhoe, an evangelical Christian and climate scientist."
107,108,"Melanoma accounts for just about 1% of all diagnosed skin cancers, but causes the vast majority of deaths. Here are some tips for spotting it."
108,109,"Silicon Valley made a promise to mothers-to-be: that with a few bottles of blood, taken in their first trimester, companies would manage to detect serious developmental problems in the fetus DNA with impressive precision."
109,110,"California fire investigators pinned the blame for the Dixie Fire — which burned more than 963,000 acres — on equipment owned by PG&E and referred the case to prosecutors."
110,111,"Misinformation about voter fraud was rampant on podcasts between the 2020 election and the Jan. 6 riot, according to a new analysis."
111,112,"New York is not expected to rebuild its labor force to prepandemic levels until late 2025, a year later than initially projected, according to a new economic forecast by the city’s Independent Budget Office."
112,113,Seventeen people were charged on Tuesday with unleashing a wave of violence in Brooklyn that left four people dead and 10 others wounded.
113,114,"New York's prison system unjustly penalized more than 1,600 incarcerated people based on faulty drug tests, putting them in solitary confinement and denying them family visits, the state inspector general found."
114,115,"Queen Elizabeth II prepares to mark 70 years on the throne this year, and a sexual abuse case in a Manhattan court involving her son, Prince Andrew, could mean more turmoil for the royal family."
115,116,"North Korea launched a ballistic missile off its east coast on Wednesday, the South Korean military said. The North last conducted a test in October, when it fired a newly developed submarine-launched ballistic missile."
116,117,"Women who received Covid vaccines while pregnant were at no greater risk of delivering their babies prematurely or of giving birth to unusually small babies than pregnant women who did not get vaccinated, a new study reports."
117,118,"Donald Trump canceled a news conference that he had scheduled for Thursday, on the one-year anniversary of the Jan. 6 Capitol attack, after several Republicans and allies raised concerns that it would be a harmful distraction."
118,119,"Prenatal tests initially looked for Down syndrome and worked very well. But as manufacturers tried to outsell each other, they began offering additional screenings for increasingly rare conditions — and often got it wrong. https://nyti.ms/3FY9UuG"
119,120,"A new book featuring previously unpublished work by Norman Mailer has been acquired by Skyhorse, an independent press, after his longtime publisher, Random House, declined to make an offer on the submission."
120,121,"Mayor Eric Adams is holding firm that schools in New York City stay open despite calls from some union leaders to temporarily return to virtual learning and remote work. The city reported nearly 30,000 new virus cases on Monday."
121,122,"President Biden announced on Tuesday that the U.S. government doubled its order for Pfizer's Covid pills, bringing the total order to 20 million treatment courses. https://nyti.ms/3pU8oUT"
122,123,"Hundreds of parents, almost all mothers, shared with us how they are handling their children’s schools’ approaches to the pandemic. Their answers varied widely in specifics but mostly boiled down to: Not well. https://nyti.ms/335hrtn"
123,124,"Breaking News: The House committee investigating the Jan. 6 attack has asked Sean Hannity, the Fox News host, to cooperate by answering questions about his communications with Donald Trump before and after the riot."
124,125,"The CDC said it stood by its decision that those infected with the coronavirus can end their isolation after five days without first obtaining a negative virus test, a decision that surprised and worried many outside experts."
125,126,"The Beijing Olympics next month will be the first Winter Games since the brain of a U.S. Olympic bobsledder who died by suicide in 2020 was found to have CTE, the degenerative brain disease caused by multiple head traumas."
126,127,"Macy’s on Tuesday asked all U.S. employees to report whether they've been vaccinated against the coronavirus, a sign it's preparing for a potential mandate of vaccinations or weekly testing before a Supreme Court hearing on such rules this Friday."
127,128,"All Los Angeles Unified School District students and employees will need to show a negative Covid test to enter school on Jan. 11, the district announced. “We don’t know what we’re going to see when we come back,” Pilar Montalvo, a parent in Los Angeles, said. https://nyti.ms/3FUUXtC"
128,129,"Emergency crews on Tuesday afternoon freed the last of hundreds of drivers stranded by a fast-falling snowstorm on I-95 in Virginia, one of the busiest travel corridors in the U.S., after many were stranded in freezing temperatures for more than 24 hours."
129,130,"The Vulcan “live long and prosper” salute was derived from part of a Hebrew blessing that the actor Leonard Nimoy first glimpsed at an Orthodox Jewish synagogue in Boston and brought to the role of Spock in ""Star Trek."""
130,131,"""In a company staff meeting, a regional manager made a joking remark that was unquestionably inappropriate for that setting. It was sexist in nature but quite witty and clever. While many of us in the meeting groaned in disbelief, three employees laughed out loud. The manager has been suspended by human resources. Should the people who laughed at the comment, two men and one woman, also be disciplined? Is a reflex reaction to a comment less egregious than 'liking' an objectio… See more"
131,132,Breaking News: Canada has reached a $31.5 billion settlement to repair its child welfare system and compensate Indigenous families separated by the government.
132,133,Does Omicron cause more gastrointestinal symptoms or fatigue than other variants? How long does it take for symptoms to appear?
133,134,In The New York Times Opinion Section 
134,135,"The U.S. government doubled its order for Pfizer's Covid pills, bringing the total order of the drug to 20 million. But monthly deliveries of the pills are not expected to ramp up into the millions until April, too late to help with the current surge."
135,136,“I am screaming inside.”
136,137,"April Ashley was one of the first people in Britain to undergo gender confirmation surgery. She modeled for Vogue and partied with John Lennon and Mick Jagger, all while fighting for legal recognition of her gender."
137,138,"President Biden faces an increasingly narrow path to fulfill his goal of slashing the greenhouse gases generated by the U.S. The next few months are critical to secure the safety of the planet as well as Biden’s climate legacy, analysts said."
138,139,"As part of its investigation into the Jan. 6 attack on the Capitol, a House panel is looking for evidence of criminality that the Justice Department might not have unearthed. Here is a breakdown of some of the issues confronting the committee."
139,140,"Police in Spain released a video showing the seizure of 300,000 unauthorized antigen tests from a warehouse on Dec. 29. They are continuing to investigate major cases of theft or the illegal trafficking of Covid test kits amid a serious shortage of tests. https://nyti.ms/3qQScTE"
140,141,"Considering bone or joint surgery? In many cases, surgery may be no more effective than options like exercise, physical therapy and drug treatments, a recent study suggests."
141,142,"A petition to rescind Tony Blair's knighthood has more than 600,000 signatures. It illustrates how one of Britain’s most successful politicians remains a divisive figure, never forgiven by his critics for taking the country to war in Iraq."
142,143,"A federal judge has dismissed a lawsuit filed by a man who said he had been sexually exploited by Nirvana when the band used a photo of him as a baby, naked and drifting in a pool, for the cover of the group’s seminal album."
143,144,Green: OK to hug.Yellow: Let’s do the elbow/fist bump.Red: Let’s wave hello.
144,145,"Americans who received two doses of the Pfizer-BioNTech coronavirus vaccine should seek a booster shot five months after the second shot and not wait six months, as earlier guidance had said, the CDC announced on Tuesday."
145,146,"Donald Trump and his allies are scheduling events and raising money for initiatives intended to make the former president a central player in the midterm elections, and possibly to set the stage for another run for the White House."
146,147,"Ireland imposed a minimum price on alcoholic beverages to curb binge drinking. Officials said the measure was aimed at making cheaper, stronger alcoholic products less readily available, particularly for young people and heavy drinkers."
147,148,"More than 4.5 million people in the U.S. voluntarily left their jobs in November, the Labor Department said Tuesday. That was up from 4.2 million in October and was the most in the two decades that the government has been keeping track. https://nyti.ms/3ENJtXq"
148,149,"Seth Meyers, the host of NBC's ""Late Night,"" said Tuesday that he tested positive for the coronavirus and that tapings of his program would be canceled through the end of the week. “The good news is,” Meyers tweeted, “I feel fine (thanks vaccines and booster!)"""
149,150,"A snowstorm shut down a 50-mile stretch of Interstate 95 south of Washington, D.C., trapping motorists overnight in freezing conditions. Senator Tim Kaine was among the drivers stranded for more than 12 hours. https://nyti.ms/3eNxA9g"
150,151,"Elizabeth Holmes was found guilty of four charges of fraud on Monday, capping the fall of a prominent entrepreneur in a case that came to represent hazards of Silicon Valley’s ""fake it till you make it"" ethos."
151,152,"A science teacher in Nassau County, New York, was arrested after being accused of administering a Covid vaccine to a minor without parental consent. A 17-year-old was given an injection while at the teacher’s house, the police said."
152,153,"Senator Tim Kaine was among the drivers stranded for more than 12 hours after a winter storm shut down parts of Interstate 95, one of the busiest travel corridors in the U.S. ""This has been a miserable experience,"" Kaine told WTOP, a radio station."
153,154,"The Jan. 6 committee has ramped up its investigation into the worst American attack on democracy in centuries. Republicans are favored to regain control of the House this fall, and if they do, they would almost certainly dissolve the inquiry."
154,155,"Breaking News: Former Gov. Andrew Cuomo won’t be prosecuted for allegedly groping a female former aide in 2020. The Albany district attorney described the aide, Brittany Commisso, as credible, but added that proving her allegation would be difficult."
155,156,"Ben Smith, the media columnist for The New York Times, is leaving the paper to start a new global news organization with Justin Smith, who is stepping down as chief executive of Bloomberg Media."
156,157,"Toyota outsold General Motors last year in the U.S., the first year in recorded history that a foreign automaker sold more cars and trucks than an American one."
157,158,"American Girl has created a Chinese American doll to be its 2022 ""Girl of the Year."" The company said it created the doll, named Corinne Tan, in response to increasing anti-Asian sentiment and to teach children to stand against racism."
158,159,"Elizabeth Holmes, the founder of Theranos, was found guilty on four counts of fraud."
159,160,"Breaking News: More than 4.5 million people in the U.S. quit their jobs in November, the most in two decades of tracking, as openings remained near a record."
160,161,"A violent clash against a mob of angry rioters was not the battle that the Capitol Police force was prepared or equipped to win. For many officers of the U.S. Capitol Police, their bodies, minds and lives will never be the same."
161,162,"We found 39 words that can be spelled with these seven letters. How many can you make? Don’t forget, your words must include the center letter.https://nyti.ms/3pT2QKp"
162,163,"The pandemic has upended children’s lives. “But until I spent time pulling together data and reading reports, I did not understand just how alarming the situation had become,” David Leonhardt writes. He gives ​an overview in The Morning newsletter."
163,164,"The night parrot disappeared for over a century. But a bizarre rediscovery, tainted by an ornithological scandal over accusations of fake audio recordings, illegal methods and dummy eggs, led to breakthroughs that could save the endangered bird."
164,165,"News Analysis: “The technorati in Silicon Valley and beyond have long tried to separate themselves from Theranos,” our tech reporter Erin Griffith writes. But Elizabeth Holmes’s nearly four-month trial starkly underlined her participation in Silicon Valley’s culture."
165,166,"About 1 in 4 U.S. hospitals with intensive care units recently reported that at least 95% of their ICU beds were full. In the week ending Dec. 30, an average of 77% of beds were occupied nationwide, Department of Health and Human Services data shows."
166,167,"A 49-year-old man was charged with arson, theft and housebreaking in connection with a fire at South Africa’s Parliament. The blaze, which started on Sunday, gutted the National Assembly building and destroyed lawmakers’ offices."
167,168,"Novak Djokovic plans to play in the Australian Open after receiving a medical exemption, he said. It comes after a review of his application by two independent panels, a procedure that strongly suggests he remains unvaccinated against the coronavirus."
168,169,"Winter break is over in most parts of the U.S., which means schools are reopening — or they’re not."
169,170,"Interstate 95, one of the busiest U.S. travel corridors, was closed south of Washington, D.C., after a winter storm that caused at least five deaths and accidents involving several tractor-trailers."
170,171,"Many more people, including those who have been vaccinated against Covid, will test positive for the coronavirus as the Omicron variant spreads. So what should you do if you’re one of them? Here's what physicians and infectious disease experts say."
171,172,The grave predictions of newer prenatal tests that screen for rare genetic disorders are usually wrong.
172,173,"Activists asked the International Olympic Committee to discuss concerns that Beijing 2022 merchandise was being made under duress by Uyghurs. The IOC, reluctant to engage with China’s critics, declined."
173,174,"Josh Wardle, a software engineer in Brooklyn, knew his partner loved word games and created a guessing game for the two of them called Wordle. Just over two months after releasing it to the rest of the world, the once-a-day game has over 300,000 players."
174,175,"The conviction of Elizabeth Holmes signals ""the end of an era,"" David Streitfeld writes. "
175,176,"A woman who is among Jeffrey Epstein's most vocal accusers received $500,000 in 2009 to resolve a lawsuit against him. The agreement was made public as part of a lawsuit she filed against Prince Andrew, who she said raped her when she was 17. https://nyti.ms/3mUfRlc"
176,177,"Residents of Molenbeek, the Belgian neighborhood where terrorists planned attacks that killed 162 people in Paris and Brussels, are trying to reinvent the area and rebuild their community. While progress has been made, history haunts the neighborhood."
177,178,"A federal judge blocked the U.S. Department of Defense from taking “any adverse action” against 35 Navy sailors who have refused to get vaccinated against the coronavirus, arguing that it violated their religious freedoms."
178,179,"Executive boards wield crucial power in American business and society, and they have long been overwhelmingly white and male. That may be changing."
179,180,"As the midterms begin in earnest and Omicron spreads, Americans are worn out and fed up. Here’s a look ahead from our new On Politics writers."
180,181,Here's a look at some of the highlights worth watching from late-night TV.
181,182,"The EU may declare some nuclear power stations and natural gas-fired power plants ""green"" as Europe shifts away from coal-burning generators to cut greenhouse gas emissions. If passed, analysts predict it can spur new investment in nuclear power."
182,183,"A new clinic is changing prostate cancer treatment for gay and bisexual men, a process long geared to the relationship needs of straight men."
183,184,"Citizen News, a Hong Kong news site known for in-depth coverage of courts and local politics, said it will stop publishing on Monday. Its shutdown is part of the final demise of the city's independent media, amid relentless pressure from Beijing."
184,185,"South Korea's coronavirus vaccine passes will have a six-month expiration date as health officials manage its ""living with Covid"" strategy. Those who received two doses of the vaccine must get a booster within six months or their passes will be void."
185,186,"Democratic politicians are placing more blame on corporations as prices continue to rise. But economists have pointed out that in many cases, blaming big firms for worsening inflation is overly simplistic."
186,187,In The New York Times Opinion Section 
187,188,"Never miss a meteor shower, eclipse or rocket launch again. https://nyti.ms/3eMlKw3"
188,189,"A few months ago, some privacy protection groups predicted that Apple’s new AirTag devices could be used to track people. Now, those precise warnings seem to be a reality."
189,190,"South Korea's coronavirus vaccine passes will have a six-month expiration date as health officials manage its ""living with Covid"" strategy. Those who received two doses of the vaccine must get a booster within six months or their passes will be void."
190,191,"""The experience of the pandemic has shown we are more resilient than conventional wisdom would suggest,"" said George Bonanno, a professor of clinical psychology and the author of a book on the psychology of human resilience."
191,192,The U.S. government's push to keep the economy open despite record Covid cases — but lower hospitalization and death rates — raises new questions for businesses preparing for a third year of the pandemic.
192,193,More than 300 people are scheduled for eviction from Nooksack tribal housing in Washington State under the tribal leadership’s plan to disenroll them from the tribe. The ousted members are appealing to Washington for federal intervention. https://nyti.ms/3eNWLIS
193,194,"Seen scavenging for food behind housing developments and roaming the local airport, Galveston Island canids are not your conventional coyotes. They carry a ghostly genetic legacy: DNA from red wolves, which were declared extinct in the wild in 1980. https://nyti.ms/3pSm2rS"
194,195,Some officials have vowed to keep schools open as Covid cases spike across the U.S. But parents and educators are growing fearful that more districts will soon turn to remote learning  — even though in-school transmission of Covid has been limited.
195,196,"Without a headlining role in some of the most critical decisions facing the White House, Vice President Kamala Harris is caught between criticism that she is falling short and resentment from supporters who feel she is being undercut by the administration. https://nyti.ms/3HxKfJT"
